As a product owner, I want a customer to have his own account with his informations and credit on the system, so that he can use the system.;Provide the customers with a personal account.;A user class will be defined with different attributes which include the personal info (name, surname, date of birth, etc..), email, password and his current balance.;The class will be well formed, and the different field will not accept invalid types (e.g.. String for the date of birth field);A user class which can generate different user objects.;15;1;0;2;;;;;;;;;;;;;;;
As a product owner, I want a user database, so that the system will easily insert, delete, modify and find users.;Provide a fast way to handle users' account.;A database will be set up, it will allow the add, remove, modification and search for a specific user.;The operations allowed by the database will give the right results. It will not insert more than one user with the same key, and given a user key it will correctly return the user's informations.;A user database which handles the users' informations.;30;2;0;5;;;;;;;;;;;;;;;
As a product owner, I want the user to log in, so that he can access the system.;Allow the user to authenticate himself in order to use the system with his own informations.;An authentication service will be implemented along with the graphic aspects of the login page. When the credentials are submitted, a function will check if the password corresponds, and In the case of positive result, it will open a session. Hashing functions will be;The system will open a session for the user if correct credentials are submitted, or it will prevent the access and allow to retry if the password is incorrect or the user does not exist. The login page and form are correctly displayed.;A connection session for the user In the case of success, login, or an error message displaying the reason why the login failed.;80;3;0;10;;;;;;;;;;;;;;;
"As a client, I want an exchange system that allows me to make ""lay"" bets on an event, so that I can have access to the main service offered by the system.";Provide the customers with a personal account.;"There will be implemented a basic ""event page"" in which there are displayed the main informations of the event itself. the Lay bet correspond to a function which calculates the ""responsibility"" of the user and deducts this amount to the customer's credit. A system for handle the user's credit will be implemented. A function to Other basic UI Components will be also implemented.";The UI will correctly display the graphic components. Pressing a Lay button will allow the user to insert the odd and the desired profit. Pressing submit will submit the bet and the system will match the bet if there is enough stake, otherwise, it will display the bet as unmatched. Furthermore, in any case, the amount bet by the user will be deducted from his credit.;In the case of matched bet, a success message and the stake for the corresponding odd decremented by the amount of the bet. In the case of unmatched bet, it will display the bet as still pending. The user's credit will be successfully updated.;170;7;1;15;;;;;;;;;;;;;;;
"As a client, I want an exchange system that allows me to make ""back"" bets on an event, so that I can have access to the main service offered by the system.";Provide the customers with the main service of the system in which they can spend and win money.;"The ""event page"" will be modified permitting the user to make ""back"" bet in addition to the ""lay"" bet. Once submitting the odd and an amount of money, the system will calculate the ""profit"" and match the bet if possible, or keep it as pending and finally update the user's credit.";The UI will correctly display the graphic components. Pressing a Back button will allow the user to insert the odd and an amount of money. Pressing submit will submit the bet and the system will match the bet if there is enough stake, otherwise, it will display the bet as unmatched. Furthermore, in any case, the amount bet by the user will be deducted from his credit.;In the case of matched bet, a success message and the stake for the corresponding odd decremented by the amount of the bet. In the case of unmatched bet, it will display the bet as still pending. The user's credit will be successfully updated.;70;0;5;5;;;;;;;;;;;;;;;
As a client, I want to bet in a variety of markets (e.g. final result, exact result, half time etc..), so that I can have more betting choice.;Provide the customer multiple choice for betting.;"The ""event page"" will be modified adding different sections which represent the markets, and for each section, it will be possible to bet on different results.";The graphic components are displayed correctly. The buttons for lay and back call the corresponding functions. A bet is related to a single result in a single market (the system will not change the market of the bet).;The updated UI, with the different market on the event page.;80;1;3;5;;;;;;;;;;;;;;;
As a client, I want the unmatched bets to put on the queue of the odds I have chosen, so that the first who has submitted the bet gets matched first.;Provide a fair ordering system for the still pending bets.;"For each result in a market, a list will be implemented. This list will be composed of an ""unmatched bet"" data structure, ordered by odds (ascending for lay bets and descending for back bets) and date. When attempting to insert a new node, the system will put the node as last for the corresponding odd.";The system will correctly match the bet in the corresponding odd queue.;The stake for the odd corresponding to the one of the bet will be incremented by the amount of the bet. The bet will be the last for its odd.;80;3;1;10;;;;;;;;;;;;;;;
As a client, I want my bet to be matched if there is enough stake at the odds I have chosen, so that my bet is completed.;Provide the functionality necessary for the matching system to work.;The system will remove all the unmatched bet necessary to cover the bet, and will subtract the remaining to the first remaining node for the corresponding odd. The system will they update the exchange database changing the removed bets to matched.;"All the previously pending bet that are matched will be updated as ""matched"". The bets removed from the list are only the one that is truly matched (no more node than the necessary are removed from the list). Only the bets of the corresponding odd are removed.";In the case of matched bet, the amount of money matched is displayed. The state of the bets removed from the list will be updated in the database.;60;0;2;7;;;;;;;;;;;;;;;
As a client, I want to be possible to cancel my unmatched bets, so that I can spend my money on other events.;Allow the user to decide what he wants to do with the bets that are not matched (maybe his bet can be never matched so it is wiser to cancel it);The system will remove the bet from the list and will update the exchange database removing the corresponding bet. The account balance will be also updated.;The list is correctly updated without losing any other bet in the unmatched list. The bet is correctly removed from the bets made by the user in the database and the user's balance will be updated.;The bet will not appear any longer among the bets made by the user. A cancel button will also be shown near the user bet.;50;0;4;5;;;;;;;;;;;;;;;
As a client, I want to be possible to have partially matched bets, so that even without a full stake part of my bet can be matched.;Ensure that the bets made by the user match the available stake and put the difference on the waiting list.;If the sum of the stake for a specific odd is not enough to cover the bet, the system will match all the available stake and the remaining amount of money will be put on the queue in the right position.;The non-matched stake will be put on the queue as last of the corresponding odd queue.;It will be shown the amount of matched money and the amount of un-matched money.;30;0;2;5;;;;;;;;;;;;;;;
